opt,cache,order,msg_size,time_us
opt,none,S,4,28
opt,none,S,64,29
opt,none,S,256,34
opt,none,R,4,28
opt,none,R,64,28
opt,none,R,256,33
opt,icache,S,4,14
opt,icache,S,64,14
opt,icache,S,256,16
opt,icache,R,4,14
opt,icache,R,64,13
opt,icache,R,256,15
opt,dcache,S,4,25
opt,dcache,S,64,25
opt,dcache,S,256,31
opt,dcache,R,4,25
opt,dcache,R,64,25
opt,dcache,R,256,30
opt,both,S,4,1
opt,both,S,64,1
opt,both,S,256,1
opt,both,R,4,1
opt,both,R,64,1
opt,both,R,256,1
noopt,none,S,4,72
noopt,none,S,64,154
noopt,none,S,256,414
noopt,none,R,4,69
noopt,none,R,64,155
noopt,none,R,256,423
noopt,icache,S,4,66
noopt,icache,S,64,148
noopt,icache,S,256,406
noopt,icache,R,4,65
noopt,icache,R,64,147
noopt,icache,R,256,407
noopt,dcache,S,4,51
noopt,dcache,S,64,102
noopt,dcache,S,256,269
noopt,dcache,R,4,49
noopt,dcache,R,64,101
noopt,dcache,R,256,271
noopt,both,S,4,2
noopt,both,S,64,5
noopt,both,S,256,15
noopt,both,R,4,2
noopt,both,R,64,5
noopt,both,R,256,15
