run_id,date,train,start_alias,direction,user_speed,destination,anchor_sensor,route_distance_mm,last_confirmed_sensor,confirmed_distance_mm,speed_ack_to_first_sensor_ticks,first_segment_avg_tenths_mm_per_10ms,seed_fast_tenths_mm_per_10ms,braking_deadline_after_last_sensor_ticks,physical_stop_location,result,accepted_calibration,notes
2026-07-26-t14-a-d7-s20-01,2026-07-26,14,A,inward,20,D7,D7,2129,A1,504,634,8,22,571,just_before_C13_near_first_24611_fork,stopped_unconfirmed,false,"Startup segment only; Wireshark showed confirmed speed command, A1 rise/release, then confirmed speed zero. No C13/E7/D7 event. Stage5 incorrectly displayed ARRIVED; retained full reservation. Do not use this single accelerating segment as a steady/max/stop calibration."
2026-07-26-t14-a-e7-s20-02,2026-07-26,14,A,inward,20,E7,E7,1753,E7,1753,868,3.963,22,113,E7_plus_55mm_pickup_leading_edge,provisional_anchor_only,false,"Capture 4.pcapng: A1->C13 469 mm/10.560579 s; C13->E7 780 mm/19.681009 s. Speed-zero request 1.129316 s after E7, about 44.757 mm; pickup leading edge stopped 55 mm after E7, inferring 10.243 mm command-to-stop. Pickup length 45 mm. One run and no physical settle timestamp: not accepted calibration."
2026-07-27-t14-a-d7-s20-03,2026-07-27,14,A,inward,20,D7,D7,2129,C13,973,859,NA,22,126,near_C13_A-side_first_24994,failed_sensor_sequence,false,"Capture 5.pcapng (SHA-256 7a45422c26aa625af8f07b94da828c7ef26b1040b9e5e270d78e7eaf850a10e9): speed 166 confirmed, A1 occupied 8.585508 s later, C13 occupied 9.102522 s after A1, then fail-safe speed zero 1.258258 s after C13. Sensor service correctly attributed both ordered events to T14 with no transport/inconsistency error, but Stage8 reused the narrow provisional point band as a maximum-speed sensor bound, charged spurious=2, and stopped near C13. Diagnostic only; Stage9 regression replays A1 at launch+859 ticks and C13 at launch+1769 ticks."
2026-07-27-t14-a-d7-s20-04,2026-07-27,14,A,inward,20,D7,D7,2129,D7,2129,870,NA,22,0,near_physical_D7_24671_about_180mm_before_user_D7,anchor_endpoint_mapping_mismatch,false,"Capture 6.pcapng (SHA-256 fe754f72791d788c020cb496b758520a34fc844b0f1c32925094c117174ca170): A1, C13, E7, and physical D7 were observed in order. Speed zero was requested about 2.906 ms after the physical D7 report, and the train stopped near that sensor. Physical measurement established that the operator user endpoint D7 is 180 mm downstream, so the corrected A-to-user-endpoint distance is 2309 mm. Diagnostic mapping evidence only; no repeated stopping/settle calibration."
2026-07-27-t14-a-d7-s20-05,2026-07-27,14,A,inward,20,D7,D7,2309,D7,2129,NA,NA,22,NA,user_D7_minus_100mm,virtual_endpoint_refinement,false,"Stage10 +180 mm virtual-endpoint run: train settled 100 mm before the operator-labelled D7 endpoint, then was cancelled, physically removed, and its reservation released. The directed sensor-D7-to-user-D7 offset is therefore refined to 280 mm (A-to-endpoint 2409 mm). No retained packet filename or settle timing was supplied for this row; diagnostic geometry evidence only. Stage11 also re-estimates point velocity from every accepted ordered sensor interval for all speeds 1..120; collision protection remains independent and unchanged."
2026-07-27-t14-a-d7-s20-06,2026-07-27,14,A,inward,20,D7,D7,2409,D7,2129,NA,NA,22,NA,user_D7_minus_68mm,speed_dependent_endpoint_fit,false,"Stage11 +280 mm run: the online estimate reached 407 um/10ms and predicted speed-zero request tick 15157 differed from actual tick 15158 by only one 10 ms tick, but the settled train remained 68 mm before the operator-labelled D7 endpoint. The train was stopped, removed, and the reservation released. This is the speed-20 correction anchor for Stage13; geometry remains +280 mm and the supervised controller adds +68 mm at this speed."
2026-07-27-t14-a-d7-s100-07,2026-07-27,14,A,inward,100,D7,D7,2409,D7,2129,NA,NA,NA,NA,user_D7_exact,speed_dependent_endpoint_fit,false,"Operator-reported physical Stage11 test: caldispatch 14 A 100 D7 followed by go stopped exactly at the labelled D7 endpoint with the +280 mm base. No packet capture, repeated-run evidence, or settle timing was supplied, so this remains an unaccepted but explicit speed-100 correction anchor. Together with the speed-20 shortfall it invalidates Stage12's single +348 mm offset and motivates Stage13's bounded velocity-space interpolation."
2026-07-27-t14-a-d7-s20-08,2026-07-27,14,A,inward,20,D7,D7,2477,D7,2129,NA,NA,NA,NA,user_D7_minus_93mm,stage14_speed_fit,false,"Operator-reported single Stage13 physical run: the settled train was 93 mm before the labelled D7 endpoint. Stage13 already applied +68 mm after the +280 mm base, so Stage14 total correction is +161 mm. No capture filename or settle timing was supplied; repeat before accepting calibration."
2026-07-27-t14-a-d7-s40-09,2026-07-27,14,A,inward,40,D7,D7,2461,D7,2129,NA,NA,NA,NA,user_D7_minus_93mm,stage14_speed_fit,false,"Operator-reported single Stage13 physical run: the settled train was 93 mm before the labelled D7 endpoint. Stage13 correction was +52 mm, so Stage14 total correction is +145 mm. No capture filename or settle timing was supplied; repeat before accepting calibration."
2026-07-27-t14-a-d7-s60-10,2026-07-27,14,A,inward,60,D7,D7,2443,D7,2129,NA,NA,NA,NA,user_D7_minus_93mm,stage14_speed_fit,false,"Operator-reported single Stage13 physical run: the settled train was 93 mm before the labelled D7 endpoint. Stage13 correction was +34 mm, so Stage14 total correction is +127 mm. No capture filename or settle timing was supplied; repeat before accepting calibration."
